Currency,Volume
BTC/USD,15 158 451.12 USD
ETH/USD,250 374.26 USD
BCH/USD,128 879.64 USD
LTC/USD,79 914.22 USD
XEM/USD,49 498.00 USD
DOGE/USD,41 630.49 USD
LSK/USD,16 023.70 USD
DASH/USD,11 755.98 USD
PZM/USD,7 017.92 USD
NEO/USD,1 663.17 USD
BVK/USD,2 501.56 USD
USD/RUR,1 243.74 USD
USDT/USD,1 227.65 USD
XRP/USD,744.76 USD
EMC/USD,617.40 USD
TRX/USD,558.30 USD
YOC/USD,447.53 USD
ZRX/USD,490.66 USD
EUR/USD,400.09 USD
VRS/USD,325.57 USD
ZEC/USD,335.32 USD
MDC/USD,317.84 USD
QTUM/USD,247.62 USD
HB/USD,256.66 USD
BAT/USD,248.45 USD
CPC/USD,243.50 USD
PLBT/USD,173.20 USD
VMR/USD,69.66 USD
OMG/USD,54.98 USD
DGB/USD,30.22 USD
MNC/USD,17.21 USD
EOS/USD,12.52 USD
STRAT/USD,9.67 USD
PRO/USD,10.21 USD
PAI/USD,7.23 USD
ADL/USD,2.77 USD
MCO/USD,3.01 USD
PHI/USD,1.34 USD
TKN/USD,1.11 USD
HST/USD,0.00 USD
XRC/USD,0.00 USD
BTG/USD,1.09 USD
RLC/USD,0.00 USD
OBITS/USD,0.00 USD
ANT/USD,0.00 USD
SHIFT/USD,0.00 USD
DIME/USD,0.00 USD
TUBE/USD,0.00 USD
TUSD/USD,0.00 USD
TIME/USD,0.00 USD
ARC/USD,0.00 USD
KNC/USD,0.00 USD
LKE/USD,0.00 USD
onLEXpa/USD,0.00 USD
GNO/USD,0.00 USD
HNR/USD,0.00 USD
BID/USD,0.00 USD
DIG/USD,0.00 USD
SNT/USD,0.00 USD
SNB/USD,0.00 USD
PUT/USD,0.00 USD
PAX/USD,0.00 USD
EDG/USD,0.00 USD
CBR/USD,0.00 USD
CLPC/USD,0.00 USD
NVC/USD,0.00 USD
VOISE/USD,0.00 USD
TRST/USD,0.00 USD
CRC/USD,0.00 USD
DYN/USD,0.00 USD
ETHOS/USD,0.00 USD
PPT/USD,0.00 USD
ABBC/USD,0.00 USD
ITCM/USD,0.00 USD
OTON/USD,0.00 USD
DIBC/USD,0.00 USD
ARK/USD,0.00 USD
USD/EURN,0.00 USD
DMC/USD,0.00 USD
VIB/USD,0.00 USD
BSHORT/USD,0.00 USD
LibraF/USD,0.00 USD
CPP/USD,0.00 USD
PPC/USD,0.00 USD
NAM/USD,0.00 USD
SNGLS/USD,0.00 USD
BIO/USD,0.00 USD
ASAFE2/USD,0.00 USD
HVN/USD,0.00 USD
SC/USD,0.00 USD
PIVX/USD,0.00 USD
CLOAK/USD,0.00 USD
RVN/USD,0.00 USD
THS/USD,0.00 USD
BFF/USD,0.00 USD
USDA/USD,0.00 USD
GNT/USD,0.00 USD
ALLBI/USD,0.00 USD
DCR/USD,0.00 USD
ECHO/USD,0.00 USD
